index1	index2	height	clustersize
660	663	-4.53956336853477	168
628	629	-4.53847291642613	23
636	640	-4.45125504597221	8
650	665	-4.41077702263304	13
344	390	-4.38033126599086	2
617	639	-4.33045155976369	5
635	653	-4.26608936865214	4
658	671	-4.22585240382104	34
310	443	-4.20840890167475	3
132	615	-4.19302668031578	7
291	376	-4.19009052405708	2
350	652	-4.18274017719397	3
324	630	-4.16654655590913	3
645	668	-4.05505167073973	172
372	675	-4.03217064238335	35
239	612	-4.02879103071946	3
200	201	-3.9904533033785	2
224	340	-3.9336985613274	2
181	346	-3.87846903738719	2
651	682	-3.83033521857505	37
118	270	-3.82942636972375	2
244	342	-3.805466526819	2
673	687	-3.75939609643957	42
347	625	-3.75402727451093	3
400	681	-3.73011349129599	173
222	233	-3.71656209223692	2
631	680	-3.65366761626012	5
257	679	-3.60986266624077	4
670	689	-3.51698419735134	10
647	692	-3.50104074575554	176
328	672	-3.42609556718841	3
666	690	-3.39549150871684	47
389	655	-3.34915879004213	3
226	587	-3.3362002043613	3
669	697	-3.33264052505487	199
288	292	-3.29120493229286	2
654	702	-3.21431553327784	202
286	290	-3.20061209598854	2
699	704	-3.19125502111853	249
236	661	-2.9709133343046	3
341	382	-2.94603533078375	2
392	695	-2.93217855260893	5
676	694	-2.92216645571788	8
648	683	-2.90848137192798	5
334	691	-2.83106243708015	4
312	693	-2.83034314583977	3
87	706	-2.79114507779349	250
103	186	-2.70506231452796	2
70	714	-2.67913012452329	251
232	696	-2.67441653091873	11
677	716	-2.64125409649813	258
710	718	-2.60468041827215	266
604	717	-2.57605635377808	19
674	700	-2.55200714402557	7
719	721	-2.46931644287626	273
684	708	-2.43766953215193	4
698	712	-2.370810255749	7
192	365	-2.25954128357025	2
664	713	-2.25845269795978	5
231	667	-2.23062390179456	4
701	722	-2.21897498000492	276
688	728	-2.19612341747049	278
196	202	-2.17745715689762	2
711	729	-2.12471043828821	283
707	724	-1.96163732379447	10
731	732	-1.89440520016322	293
720	727	-1.89181985197067	23
194	198	-1.87986572366625	2
378	733	-1.85184306522186	294
333	703	-1.82984313410274	3
709	736	-1.8250311470699	299
191	195	-1.78232588591876	2
734	738	-1.67054566344127	322
361	725	-1.63938475547735	3
246	740	-1.51021661999576	323
686	742	-1.47288747970496	325
327	335	-1.42690696075665	2
102	715	-1.352318634546	3
245	743	-1.29868997746454	326
330	331	-1.29630197615624	2
264	726	-1.28077156300754	6
97	100	-1.25728133318433	2
622	746	-1.13143041058998	328
203	323	-1.10244021010333	2
294	739	-1.03571147986727	3
748	750	-1.03038426373968	334
678	753	-1.01319851846608	336
104	705	-0.997791807042936	3
199	730	-0.997791807042936	3
296	744	-0.869478542177481	3
685	754	-0.864612259331567	338
723	737	-0.773046325913629	7
757	758	-0.674178410887529	341
295	755	-0.667519978271388	4
190	751	-0.641844814195773	3
298	735	-0.625801040150978	3
105	745	-0.619411695177275	4
287	752	-0.615214962923355	4
297	741	-0.538435410052977	4
94	95	-0.522580847170926	2
96	767	-0.522580847170926	3
98	768	-0.522580847170926	4
99	769	-0.522580847170926	5
101	770	-0.522580847170926	6
106	771	-0.522580847170926	7
107	772	-0.522580847170926	8
108	773	-0.522580847170926	9
110	774	-0.522580847170926	10
111	775	-0.522580847170926	11
112	776	-0.522580847170926	12
113	777	-0.522580847170926	13
114	778	-0.522580847170926	14
171	779	-0.522580847170926	15
189	780	-0.522580847170926	16
193	781	-0.522580847170926	17
289	782	-0.522580847170926	18
293	783	-0.522580847170926	19
234	760	-0.511767461402896	342
109	749	-0.498926341470017	3
756	759	-0.481807840357606	10
761	784	-0.456575477879645	23
762	766	-0.410230240317944	7
187	788	-0.380849768619514	24
197	790	-0.376597119883142	25
763	791	-0.366943964180691	28
764	765	-0.365714110839044	8
786	792	-0.350582805657631	31
789	794	-0.336715922982215	38
793	795	-0.323140885962794	46
785	787	-0.304042312029128	352
747	796	-0.0905050846468236	48
797	798	-0.0550226035828778	400
188	799	-0.00413713814716556	401
