bin	sign
5607	-1
5612	-1
5620	-1
5623	-1
5626	-1
5629	-1
5635	-1
5639	-1
5645	-1
5650	-1
5653	-1
5656	-1
5661	-1
5664	-1
5667	-1
5674	-1
5677	-1
5680	-1
5687	-1
5693	-1
5696	-1
5700	-1
5703	-1
5710	-1
5720	-1
5727	-1
5731	-1
5734	-1
5737	-1
5740	-1
5747	-1
5750	-1
5754	-1
5760	-1
5767	-1
5772	-1
5782	-1
5785	-1
5789	-1
5792	-1
5796	-1
5799	-1
5802	-1
5806	-1
5811	-1
5818	-1
5823	-1
5828	-1
5832	-1
5835	-1
5838	-1
5841	-1
5846	-1
5851	-1
5856	-1
5861	-1
5868	-1
5874	-1
5881	-1
5885	-1
5888	-1
5892	-1
5896	-1
5902	-1
5908	-1
5916	-1
5920	-1
5925	-1
5928	-1
5933	-1
5938	-1
5941	-1
5946	-1
5950	-1
5953	-1
5956	-1
5960	-1
5963	-1
5967	-1
5973	-1
5980	-1
5984	-1
5994	-1
6000	-1
6010	-1
6013	-1
6016	-1
6019	-1
6029	-1
6042	-1
6047	-1
6050	-1
6056	-1
6059	-1
6062	-1
6072	-1
6079	-1
6082	-1
6086	-1
6093	-1
6097	-1
6101	-1
6110	-1
6118	-1
6124	-1
6128	-1
6131	-1
6137	-1
6140	-1
6152	-1
6159	-1
6162	-1
6165	-1
6171	-1
6176	-1
6179	-1
6188	-1
6191	-1
6194	-1
6198	-1
6206	-1
6213	-1
6219	-1
6224	-1
6228	-1
6231	-1
6234	-1
6237	-1
6240	-1
6244	-1
6248	-1
6252	-1
6256	-1
6262	-1
6268	-1
6271	-1
6274	-1
6280	-1
6283	-1
6287	-1
6293	-1
6296	-1
6300	-1
6304	-1
6310	-1
6313	-1
6316	-1
6319	-1
6326	-1
6331	-1
6334	-1
6339	-1
6350	-1
6353	-1
6356	-1
6361	-1
6372	-1
6375	-1
6391	-1
6405	-1
6411	-1
6415	-1
6422	-1
6426	-1
6434	-1
6437	-1
6444	-1
6447	-1
6453	-1
6457	-1
6465	-1
6469	-1
6473	-1
6482	-1
6486	-1
6492	-1
6501	-1
6504	-1
6511	-1
6515	-1
6520	-1
6525	-1
6531	-1
6534	-1
6538	-1
6541	-1
6544	-1
6548	-1
6552	-1
6556	-1
6563	-1
6567	-1
6573	-1
6580	-1
6587	-1
6592	-1
6595	-1
6603	-1
6608	-1
6613	-1
6621	-1
6624	-1
6628	-1
6639	-1
6643	-1
6647	-1
6650	-1
6653	-1
6660	-1
6663	-1
6668	-1
6673	-1
6680	-1
6684	-1
6689	-1
6697	-1
6703	-1
6707	-1
6711	-1
6714	-1
6717	-1
6721	-1
6725	-1
6728	-1
6734	-1
6743	-1
6748	-1
6753	-1
6758	-1
6761	-1
6770	-1
6776	-1
6780	-1
6784	-1
6787	-1
6790	-1
6793	-1
6799	-1
6803	-1
6806	-1
6811	-1
6815	-1
6819	-1
6826	-1
6831	-1
6836	-1
6841	-1
6844	-1
6856	-1
6862	-1
6871	-1
6875	-1
6883	-1
6887	-1
6890	-1
6896	-1
6900	-1
6903	-1
6908	-1
6911	-1
6914	-1
6917	-1
6920	-1
6924	-1
6928	-1
6932	-1
6936	-1
6939	-1
6944	-1
6951	-1
6954	-1
6957	-1
6963	-1
6966	-1
6970	-1
6973	-1
6976	-1
6979	-1
6982	-1
6993	-1
6996	-1
6999	-1
7005	-1
7009	-1
7015	-1
7023	-1
7027	-1
7030	-1
7038	-1
7042	-1
7046	-1
7049	-1
7053	-1
7059	-1
7062	-1
7066	-1
7070	-1
7073	-1
7076	-1
7085	-1
7089	-1
7094	-1
7101	-1
7105	-1
7115	-1
7120	-1
7125	-1
7131	-1
7134	-1
7141	-1
7149	-1
7154	-1
7157	-1
7161	-1
7166	-1
7175	-1
7179	-1
7182	-1
7187	-1
7190	-1
7195	-1
7198	-1
7204	-1
7209	-1
7213	-1
7217	-1
7221	-1
7226	-1
7229	-1
7234	-1
7237	-1
7240	-1
7243	-1
7247	-1
7251	-1
7254	-1
7259	-1
7262	-1
7272	-1
7275	-1
7279	-1
7284	-1
7288	-1
7294	-1
7297	-1
7303	-1
7308	-1
7314	-1
7317	-1
7320	-1
7326	-1
7329	-1
7339	-1
7345	-1
7350	-1
7353	-1
7357	-1
7361	-1
7366	-1
7372	-1
7375	-1
7379	-1
7383	-1
7388	-1
7391	-1
7396	-1
7400	-1
7404	-1
7407	-1
7412	-1
7419	-1
7427	-1
7430	-1
7439	-1
7444	-1
7447	-1
7454	-1
7458	-1
7462	-1
7466	-1
7470	-1
7473	-1
7479	-1
7486	-1
7489	-1
7493	-1
7496	-1
7502	-1
7505	-1
7508	-1
7511	-1
7514	-1
7517	-1
7520	-1
7523	-1
7533	-1
7538	-1
7541	-1
7545	-1
7550	-1
7559	-1
7562	-1
7565	-1
7568	-1
7571	-1
7575	-1
7578	-1
7583	-1
7586	-1
7593	-1
7596	-1
7601	-1
7604	-1
7607	-1
7615	-1
7619	-1
7625	-1
7629	-1
7634	-1
7637	-1
7640	-1
7643	-1
7649	-1
7656	-1
7662	-1
7666	-1
7670	-1
7673	-1
7680	-1
7685	-1
7690	-1
7693	-1
7696	-1
7701	-1
7708	-1
7711	-1
7714	-1
7718	-1
7721	-1
7725	-1
7733	-1
7737	-1
7743	-1
7747	-1
7753	-1
7756	-1
7759	-1
7762	-1
7766	-1
7770	-1
7777	-1
7780	-1
7783	-1
7789	-1
7795	-1
7798	-1
7801	-1
7807	-1
7812	-1
7816	-1
7820	-1
7823	-1
7827	-1
7830	-1
7834	-1
7837	-1
7842	-1
7846	-1
7853	-1
7856	-1
7861	-1
7865	-1
7868	-1
7876	-1
7883	-1
7886	-1
7891	-1
7898	-1
7901	-1
7908	-1
7913	-1
7920	-1
7928	-1
7934	-1
7940	-1
7943	-1
7948	-1
7952	-1
7955	-1
7963	-1
7966	-1
7976	-1
7980	-1
7983	-1
7989	-1
7993	-1
8003	-1
8006	-1
8010	-1
8013	-1
8022	-1
8029	-1
8034	-1
8041	-1
8044	-1
8052	-1
8055	-1
8058	-1
8065	-1
8071	-1
8075	-1
8078	-1
8081	-1
8089	-1
8092	-1
8102	-1
8108	-1
8117	-1
8120	-1
8128	-1
8131	-1
8137	-1
8141	-1
8146	-1
8152	-1
8155	-1
8169	-1
8179	-1
8185	-1
8195	-1
8203	-1
8209	-1
8213	-1
8217	-1
8220	-1
8223	-1
8231	-1
8234	-1
8237	-1
8240	-1
8247	-1
8255	-1
8261	-1
8266	-1
8271	-1
8274	-1
8277	-1
8280	-1
8289	-1
8293	-1
8300	-1
8306	-1
8314	-1
8319	-1
8322	-1
8331	-1
8337	-1
8341	-1
8349	-1
8353	-1
8361	-1
8364	-1
8367	-1
8373	-1
8379	-1
8390	-1
8393	-1
8397	-1
8400	-1
8408	-1
8421	-1
8426	-1
8430	-1
8433	-1
8437	-1
8441	-1
8446	-1
8449	-1
8452	-1
8455	-1
8460	-1
8473	-1
8476	-1
8479	-1
8484	-1
8488	-1
8491	-1
8494	-1
8497	-1
8501	-1
8504	-1
8508	-1
8512	-1
8515	-1
8521	-1
8524	-1
8529	-1
8532	-1
8540	-1
8548	-1
8552	-1
8555	-1
8559	-1
8571	-1
8575	-1
8578	-1
8591	-1
8598	-1
8603	-1
8608	-1
8611	-1
8614	-1
8621	-1
8624	-1
8627	-1
8633	-1
8643	-1
8647	-1
8650	-1
8653	-1
8657	-1
8661	-1
8668	-1
8675	-1
8680	-1
8683	-1
8686	-1
8689	-1
8701	-1
8711	-1
8717	-1
8721	-1
8724	-1
8738	-1
8741	-1
8745	-1
8750	-1
8753	-1
8756	-1
8765	-1
8768	-1
8778	-1
8781	-1
8787	-1
8792	-1
8795	-1
8800	-1
8806	-1
8815	-1
8826	-1
